Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos,Description
2016/11,2019/12,Sustainable Energy Principles & Practice In India,Arjendu Pattanayak,Winter Break,28,India,India,,"This OCS ran from 2016/11 to 2019/12, and visited India.

Lead by Arjendu Pattanayak with 28 total students in partipation across the years."
2017/1,2023/03,Visions Of California: Searching For The Golden State,Mike Kowalewski,Winter,47,USA,USA,,"This OCS ran from 2017/1 to 2023/03, and visited USA.

Lead by Mike Kowalewski with 47 total students in partipation across the years."
2018/03,2023/06,(beyond) Nationalism And Xenophobia In Central And Eastern Europe,Mihaela Czobor-Lupp,Spring,33,Romania,Romania,,"This OCS ran from 2018/03 to 2023/06, and visited Romania.

Lead by Mihaela Czobor-Lupp with 33 total students in partipation across the years."
2018/1,2022/03,Architectural Studies In Europe,Baird Jarman,Winter,70,Spain,"UK, Italy, Spain",,"This OCS ran from 2018/1 to 2022/03, and visited UK, Italy, Spain.

Lead by Baird Jarman with 70 total students in partipation across the years."
2017/06,2017/08,Art Now:  Global Contemporary Art And The Mega Exhibitions,Ross Elfline,Summer,15,Italy,"Germany, Italy",,"This OCS ran from 2017/06 to 2017/08, and visited Germany, Italy.

Lead by Ross Elfline with 15 total students in partipation across the years."
2018/03,2023/06,French And Francophone Studies In Paris,Scott Carpenter,Spring,83,France,France,,"This OCS ran from 2018/03 to 2023/06, and visited France.

Lead by Scott Carpenter with 83 total students in partipation across the years."
2017/08,2022/11,"Gep Buddhist Studies In Bodh Gaya, India",Arthur McKeown,Fall Semester,17,India,India,,"This OCS ran from 2017/08 to 2022/11, and visited India.

Lead by Arthur McKeown with 17 total students in partipation across the years."
2017/08,2017/11,Gep Globalization And Sustainable Development In Cameroon,Nicholas Hockin,Fall Semester,5,Cameroon,Cameroon,,"This OCS ran from 2017/08 to 2017/11, and visited Cameroon.

Lead by Nicholas Hockin with 5 total students in partipation across the years."
2017/08,2022/11,Gep Women's And Gender Studies In Europe,Iveta Jusova,Fall Semester,21,Poland,"Germany, Czech Republic, Netherlands, Poland",,"This OCS ran from 2017/08 to 2022/11, and visited Germany, Czech Republic, Netherlands, Poland.

Lead by Iveta Jusova with 21 total students in partipation across the years."
2017/06,2017/08,"Irish Literature, Art, Performance And Culture In Ireland",Pierre Hecker,Summer,15,Ireland,Ireland,,"This OCS ran from 2017/06 to 2017/08, and visited Ireland.

Lead by Pierre Hecker with 15 total students in partipation across the years."
2018/03,2019/06,Language And Culture In Global Russia,Diane Nemec Ignashev,Spring,18,Russia,Russia,,"This OCS ran from 2018/03 to 2019/06, and visited Russia.

Lead by Diane Nemec Ignashev with 18 total students in partipation across the years."
2019/1,2019/03,Cinema And Media Studies In Europe,Laska Jimsen,Winter,22,Portugal,"Denmark, Germany, The Netherlands, Portugal",,"This OCS ran from 2019/1 to 2019/03, and visited Denmark, Germany, The Netherlands, Portugal.

Lead by Laska Jimsen with 22 total students in partipation across the years."
2018/11,2019/12,"Conservation, Geology, And Natural History In Tasmania",Mary Savina & Nancy Braker,Winter Break,10,Australia,Australia,,"This OCS ran from 2018/11 to 2019/12, and visited Australia.

Lead by Mary Savina & Nancy Braker with 10 total students in partipation across the years."
2018/06,2019/08,Economics And European Studies In Cambridge,Paul Petzschmann,Summer,37,UK,"UK, Belgium, France",,"This OCS ran from 2018/06 to 2019/08, and visited UK, Belgium, France.

Lead by Paul Petzschmann with 37 total students in partipation across the years."
2019/03,2019/06,Pilgrimage And Sacred Space In Japan,Asuka Sango,Spring,18,Japan,Japan,,"This OCS ran from 2019/03 to 2019/06, and visited Japan.

Lead by Asuka Sango with 18 total students in partipation across the years."
2018/11,2022/12,"Society, History, And Popular Culture In Senegal",Chérif Keïta,Winter Break,22,Senegal,Senegal,,"This OCS ran from 2018/11 to 2022/12, and visited Senegal.

Lead by Chérif Keïta with 22 total students in partipation across the years."
2019/08,2022/11,German Studies In Berlin,"Kiley Kost, Seth Elliott Meyer",Fall,32,Germany,Germany,,"This OCS ran from 2019/08 to 2022/11, and visited Germany.

Lead by Kiley Kost, Seth Elliott Meyer with 32 total students in partipation across the years."
2019/06,2022/08,History Of Computing In England,David Liben-Nowelll,Summer,44,UK,UK,,"This OCS ran from 2019/06 to 2022/08, and visited UK.

Lead by David Liben-Nowelll with 44 total students in partipation across the years."
2019/06,2019/08,Irish Studies In Ireland,Constance Walker,Summer,12,Ireland,Ireland,,"This OCS ran from 2019/06 to 2019/08, and visited Ireland.

Lead by Constance Walker with 12 total students in partipation across the years."
2020/11,2023/12,Climate Change And Human Health In Ethiopia: From Science To Practice,Deborah Gross & Tsegaye Nega,Winter Break,25,Ethiopia,Ethiopia,,"This OCS ran from 2020/11 to 2023/12, and visited Ethiopia.

Lead by Deborah Gross & Tsegaye Nega with 25 total students in partipation across the years."
2021/08,2021/11,Gep Women's And Gender Studies In Europe (Moved to Sweden due to COVID),Iveta Jusova,Fall Semester,5,Sweden,Sweden,,"This OCS ran from 2021/08 to 2021/11, and visited Sweden.

Lead by Iveta Jusova with 5 total students in partipation across the years."
2022/03,2022/06,"History, Culture, And Commerce: Africa And Arabia",Thabiti Willis,Spring,20,"Bahrain, Oman, United Arab Emirates","Bahrain, Oman, United Arab Emirates",,"This OCS ran from 2022/03 to 2022/06, and visited Bahrain, Oman, United Arab Emirates.

Lead by Thabiti Willis with 20 total students in partipation across the years."
2022/03,2022/06,"Living London: Literature, Theater, Art, And The City",Pierre Hecker,Spring,15,UK,UK,,"This OCS ran from 2022/03 to 2022/06, and visited UK.

Lead by Pierre Hecker with 15 total students in partipation across the years."
2021/11,2022/12,"Making Public History In Boston And Washington, D.C.",Serena Zabin,Winter Break,12,USA,USA,,"This OCS ran from 2021/11 to 2022/12, and visited USA.

Lead by Serena Zabin with 12 total students in partipation across the years."
2022/11,2023/12,"Food, Forests, And Resliance:  Systems Of Socio-ecological Sustainability In Oaxaca, Mexico",Constanza Ocampo-Raeder & Dan Hernández,Winter Break,18,Mexico,Mexico,,"This OCS ran from 2022/11 to 2023/12, and visited Mexico.

Lead by Constanza Ocampo-Raeder & Dan Hernández with 18 total students in partipation across the years."
2023/03,2023/06,"Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,19,Japan,Japan,,"This OCS ran from 2023/03 to 2023/06, and visited Japan.

Lead by Mike Flynn with 19 total students in partipation across the years."
2023/1,2023/03,"Living London: City, Scene, Anthropocene",Peter Balaam,Winter,26,UK,UK,,"This OCS ran from 2023/1 to 2023/03, and visited UK.

Lead by Peter Balaam with 26 total students in partipation across the years."
2023/03,2023/06,Russian At A Cultural Crossroad,Diane Nemec Ignshev & Victoria Thorstensson,Spring,12,Qazaqstan,Qazaqstan,,"This OCS ran from 2023/03 to 2023/06, and visited Qazaqstan.

Lead by Diane Nemec Ignshev & Victoria Thorstensson with 12 total students in partipation across the years."
